startTime,open,high,low,close,volume,turnover,sma20,ema20,rsi20
2025-09-22 10:16:00+00:00,112504.9,112578.1,112504.8,112529.1,26.641026,2998185.6357582,,,
2025-09-22 10:17:00+00:00,112529.1,112590.0,112529.1,112575.6,5.815254,654619.3088749,,,
2025-09-22 10:18:00+00:00,112575.6,112595.0,112563.8,112594.9,3.782716,425856.1742775,,,
2025-09-22 10:19:00+00:00,112594.9,112621.7,112594.9,112621.7,0.630297,70978.4895912,,,
2025-09-22 10:20:00+00:00,112621.7,112621.7,112565.9,112609.4,10.827639,1219075.5222373,,,
2025-09-22 10:21:00+00:00,112609.4,112635.8,112609.4,112635.7,1.823347,205360.5604628,,,
2025-09-22 10:22:00+00:00,112635.7,112635.8,112631.4,112631.5,0.496994,55978.77786,,,
2025-09-22 10:23:00+00:00,112631.5,112643.2,112631.4,112643.2,2.560718,288422.6248421,,,
2025-09-22 10:24:00+00:00,112643.2,112677.3,112643.2,112677.3,3.582094,403562.5652895,,,
2025-09-22 10:25:00+00:00,112677.3,112677.3,112644.4,112651.1,5.611444,632193.4093891,,,
2025-09-22 10:26:00+00:00,112651.1,112651.2,112610.5,112610.5,4.475633,504082.3611091,,,
2025-09-22 10:27:00+00:00,112610.5,112610.5,112572.2,112606.2,5.893713,663551.0455455,,,
2025-09-22 10:28:00+00:00,112606.2,112606.3,112573.4,112578.0,2.799577,315208.7575813,,,
2025-09-22 10:29:00+00:00,112578.0,112580.3,112561.7,112561.7,3.00151,337891.1190451,,,
2025-09-22 10:30:00+00:00,112561.7,112561.8,112505.8,112505.8,6.73128,757469.4342695,,,
2025-09-22 10:31:00+00:00,112505.8,112519.4,112466.6,112466.6,8.089523,909933.0160998,,,
2025-09-22 10:32:00+00:00,112466.6,112466.6,112433.0,112455.5,5.725852,643848.0896773,,,
2025-09-22 10:33:00+00:00,112455.5,112485.9,112455.5,112468.3,4.332428,487268.2910574,,,
2025-09-22 10:34:00+00:00,112468.3,112468.3,112440.1,112446.1,3.658394,411382.6453725,,,
2025-09-22 10:35:00+00:00,112446.1,112491.6,112434.1,112434.1,6.087592,684658.8488221,112565.11499999999,112530.84257644638,-186.84210526315786
2025-09-22 10:36:00+00:00,112434.1,112460.6,112429.7,112432.0,5.68125,638833.0357563,112560.25999999998,112521.4289977372,-182.80123583932988
2025-09-22 10:37:00+00:00,112432.0,112432.0,112417.1,112417.2,3.706657,416713.5467817,112552.34,112511.50242652412,-82.70202020201563
2025-09-22 10:38:00+00:00,112417.2,112421.3,112378.2,112419.2,6.80822,765268.2022425,112543.55500000001,112502.7117192361,-64.71257825840269
2025-09-22 10:39:00+00:00,112419.2,112439.6,112413.5,112427.8,4.217797,474184.2028421,112533.86000000002,112495.57726978505,-49.25219185147881
2025-09-22 10:40:00+00:00,112427.8,112433.0,112422.0,112422.1,0.983717,110600.1937621,112524.495,112488.57943456742,-50.98772023492819
2025-09-22 10:41:00+00:00,112422.1,112422.1,112412.5,112412.5,1.055263,118630.4748212,112513.335,112481.33377413244,-31.003584229396296
2025-09-22 10:42:00+00:00,112412.5,112422.4,112409.7,112422.3,2.885938,324409.9558105,112502.875,112475.71150992934,-37.762906309758904
2025-09-22 10:43:00+00:00,112422.3,112452.2,112422.3,112446.0,21.709573,2441116.8553641,112493.01499999998,112472.88184231703,-46.14604462475452
2025-09-22 10:44:00+00:00,112446.0,112474.6,112445.8,112470.2,6.33339,712245.2710858,112482.66,112472.62642876302,-39.15982617093363
2025-09-22 10:45:00+00:00,112470.2,112502.1,112470.2,112499.1,3.42844,385625.2092352,112475.06000000001,112475.14772126178,-72.36842105264111
2025-09-22 10:46:00+00:00,112499.1,112524.7,112499.1,112524.6,1.07421,120853.9003299,112470.76499999998,112479.85746209399,-157.7415599534619
2025-09-22 10:47:00+00:00,112524.6,112552.5,112518.6,112552.5,5.320046,598664.1634444,112468.07999999999,112486.77579903742,-304.2830540037572
2025-09-22 10:48:00+00:00,112552.5,112614.2,112552.4,112609.2,6.260977,704938.2194133,112469.63999999998,112498.43524674815,705.4487179488034
2025-09-22 10:49:00+00:00,112609.2,112653.2,112609.1,112653.1,2.27316,256005.4417726,112474.21,112513.16522324833,288.84026258204517
2025-09-22 10:50:00+00:00,112653.1,112699.1,112652.0,112699.1,7.539904,849573.4462301,112483.875,112530.87329722468,160.3724780134557
2025-09-22 10:51:00+00:00,112699.1,112768.2,112697.9,112761.0,6.569789,740589.8120397,112498.59500000002,112552.79012606043,126.32472826087503
2025-09-22 10:52:00+00:00,112761.0,112774.3,112739.7,112759.1,6.149055,693349.0261902,112513.775,112572.43868548324,122.49670619235889
